1783499626.083799 server started (988184): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1783499626.083836 on Linux 6.18.35.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Wed Jun 17 23:14:00 UTC 2026
1783499626.083849 using libevent 2.1.12-stable poll
1783499626.083852 using ncurses 6.4 20240113
1783499626.084341 input_key_build: 0x10e003 (PasteStart) is \033[200~
1783499626.084361 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1783499626.084365 input_key_build: 0x10e195 (F1) is \033OP
1783499626.084368 input_key_build: 0x10e196 (F2) is \033OQ
1783499626.084372 input_key_build: 0x10e197 (F3) is \033OR
1783499626.084374 input_key_build: 0x10e198 (F4) is \033OS
1783499626.084377 input_key_build: 0x10e199 (F5) is \033[15~
1783499626.084379 input_key_build: 0x10e19a (F6) is \033[17~
1783499626.084387 input_key_build: 0x10e19b (F7) is \033[18~
1783499626.084389 input_key_build: 0x10e19c (F8) is \033[19~
1783499626.084392 input_key_build: 0x10e19d (F9) is \033[20~
1783499626.084395 input_key_build: 0x10e19e (F10) is \033[21~
1783499626.084397 input_key_build: 0x10e19f (F11) is \033[23~
1783499626.084400 input_key_build: 0x10e1a0 (F12) is \033[24~
1783499626.084402 input_key_build: 0x10e1a1 (IC) is \033[2~
1783499626.084405 input_key_build: 0x10e1a2 (DC) is \033[3~
1783499626.084408 input_key_build: 0x10e1a3 (Home) is \033[1~
1783499626.084410 input_key_build: 0x10e1a4 (End) is \033[4~
1783499626.084413 input_key_build: 0x10e1a5 (NPage) is \033[6~
1783499626.084416 input_key_build: 0x10e1a6 (PPage) is \033[5~
1783499626.084423 input_key_build: 0x10e1a7 (BTab) is \033[Z
1783499626.084429 input_key_build: 0x10e1a8 (Up) is \033[A
1783499626.084431 input_key_build: 0x10e1a9 (Down) is \033[B
1783499626.084434 input_key_build: 0x10e1aa (Left) is \033[D
1783499626.084437 input_key_build: 0x10e1ab (Right) is \033[C
1783499626.084439 input_key_build: 0x10e1ac (KP/) is /
1783499626.084442 input_key_build: 0x10e1ad (KP*) is *
1783499626.084445 input_key_build: 0x10e1ae (KP-) is -
1783499626.084448 input_key_build: 0x10e1af (KP7) is 7
1783499626.084450 input_key_build: 0x10e1b0 (KP8) is 8
1783499626.084453 input_key_build: 0x10e1b1 (KP9) is 9
1783499626.084455 input_key_build: 0x10e1b2 (KP+) is +
1783499626.084458 input_key_build: 0x10e1b3 (KP4) is 4
1783499626.084464 input_key_build: 0x10e1b4 (KP5) is 5
1783499626.084467 input_key_build: 0x10e1b5 (KP6) is 6
1783499626.084470 input_key_build: 0x10e1b6 (KP1) is 1
1783499626.084472 input_key_build: 0x10e1b7 (KP2) is 2
1783499626.084475 input_key_build: 0x10e1b8 (KP3) is 3
1783499626.084478 input_key_build: 0x10e1b9 (KPEnter) is \n
1783499626.084480 input_key_build: 0x10e1ba (KP0) is 0
1783499626.084483 input_key_build: 0x10e1bb (KP.) is .
1783499626.084486 input_key_build: 0x200000000009 (C-Tab) is \t
1783499626.084489 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1783499626.084491 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1783499626.084494 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1783499626.084497 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1783499626.084500 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1783499626.084503 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1783499626.084506 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1783499626.084508 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1783499626.084511 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1783499626.084514 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1783499626.084517 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1783499626.084520 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1783499626.084523 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1783499626.084525 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1783499626.084528 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1783499626.084531 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1783499626.084537 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1783499626.084540 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1783499626.084544 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1783499626.084556 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1783499626.084559 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1783499626.084563 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1783499626.084565 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1783499626.084569 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1783499626.084572 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1783499626.084574 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1783499626.084577 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1783499626.084580 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1783499626.084583 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1783499626.084586 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1783499626.084589 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1783499626.084592 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1783499626.084595 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1783499626.084597 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1783499626.084600 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1783499626.084603 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1783499626.084605 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1783499626.084608 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1783499626.084610 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1783499626.084613 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1783499626.084615 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1783499626.084618 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1783499626.084621 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1783499626.084624 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1783499626.084626 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1783499626.084629 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1783499626.084631 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1783499626.084634 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1783499626.084637 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1783499626.084639 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1783499626.084642 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1783499626.084645 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1783499626.084647 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1783499626.084650 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1783499626.084653 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1783499626.084655 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1783499626.084658 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1783499626.084661 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1783499626.084664 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1783499626.084666 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1783499626.084669 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1783499626.084672 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1783499626.084675 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1783499626.084678 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1783499626.084681 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1783499626.084683 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1783499626.084686 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1783499626.084689 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1783499626.084692 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1783499626.084695 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1783499626.084698 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1783499626.084701 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1783499626.084703 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1783499626.084706 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1783499626.084709 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1783499626.084712 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1783499626.084719 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1783499626.084721 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1783499626.084724 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1783499626.084727 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
